Machine,Strategy,Tool_Type,Tool_Diameter,Tool_Tip_Radius,Tool_Length,Overhang,Num_of_Flutes,Gauge_Length,Holder,Tolerance,Block_X,Block_Y,Block_Z,Max_X,Min_X,Max_Y,Min_Y,Max_Z,Min_Z,Skim_Distance,Plunge_Distance,Global_Thickness,Radial_Thickness,Axial_Thickness,Cutting_Feed_Rate,Plunge_Feed_Rate,Rapid_Feed_Rate,Spindle,Cut_Length,Stepover,Stepdown,Machining_Thickness,Estimasi_Detik,Aktual_Detik
PRO,Drilling,Drill,3.0,0.0,3.0,30.0,2,164.0,dummy toolholder name,0.005,297.8,130.0,9.8,0.0,-242.8,12.0,0.0,2.0,-40.2,5,2.0,0.0,0.0,0.0,38,3.8,7000,1400,32.0,0.0,0.0,0.0,57,76
PRO,Drilling,Drill,5.5,0.0,27.5,40.0,2,174.0,dummy toolholder name,0.005,297.8,130.0,9.8,0.0,-242.8,12.0,0.0,9.65,-40.2,5,2.0,0.0,0.0,0.0,60,6.0,7000,750,107.6,0.0,0.0,0.0,121,179
PRO,Constant Z,End Mill,6.0,0.0,40.0,15.0,2,99.5,MINI-MINI CHCUK MMC8-90,0.005,297.8,130.0,9.3,18.0,-260.8,67.0,-46.767,9.3,-40.2,5,2.0,0.0,0.0,0.0,1200,600.0,7000,6000,57185.9,0.0,0.25,0.0,2901,2960
PRO,Offset Flat,End Mill,6.0,0.0,40.0,15.0,2,99.5,MINI-MINI CHCUK MMC8-90,0.005,297.8,130.0,9.2,16.999,-256.905,65.06,-2.3,6.87,-40.2,5,2.0,0.0,0.0,0.0,1000,500.0,7000,6000,2982.14,3.0,0.0,0.0,280,415
PRO,Pencil Corner,End Mill,6.0,0.0,40.0,15.0,2,99.5,MINI-MINI CHCUK MMC8-90,0.004,297.8,130.0,9.2,11.842,-254.642,65.27,-16.734,6.878,-40.2,5,2.0,0.0,0.0,0.0,1000,500.0,7000,6000,536.775,0.0,0.0,0.0,46,71
PRO,3D Offset,Ball Nosed,6.0,3.0,50.5,15.0,2,99.0,MINI-MINI CHCUK MMC8-90,0.005,297.8,130.0,9.3,12.158,-254.959,64.402,12.0,7.11,-40.2,5,2.0,0.0,0.0,0.0,1200,600.0,7000,7000,4817.56,0.25,0.0,0.0,273,349
PRO,Interleaved Constant Z,Ball Nosed,6.0,3.0,50.5,15.0,2,99.0,MINI-MINI CHCUK MMC8-90,0.005,297.8,130.0,9.3,15.026,-257.996,64.934,-43.483,8.145,-40.2,5,2.0,0.0,0.0,0.0,1200,600.0,7000,7000,4977.8,0.1,0.0,0.0,293,362
PRO,Constant Z,End Mill,4.0,0.0,40.0,11.0,2,95.0,MINI-MINI CHCUK MMC8-90,0.005,297.8,130.0,9.365,1.504,-244.304,12.0,-1.504,9.65,-40.2,5,2.0,0.0,0.01,0.0,400,200.0,7000,6000,4909.77,0.0,0.15,0.01,767,785
PRO,Constant Z,End Mill,4.0,0.0,40.0,11.0,2,95.0,MINI-MINI CHCUK MMC8-90,0.005,297.8,130.0,0.3,1.598,-244.398,12.0,-1.599,50.0,9.5,5,2.0,0.0,0.2,0.0,400,200.0,7000,6000,241.011,0.0,0.15,0.2,66,95
PRO,Offset Area Clearance,Tip Radiused,12.4,3.0,30.0,45.0,2,102.0,dummy toolholder name,0.1,297.8,130.0,9.65,14.121,-256.936,57.306,-44.477,50.0,6.926,5,2.0,0.0,0.2,0.15,1400,700.0,7000,5500,30781.1,6.0,0.2,0.2,1604,1545
PRO,Offset Area Clearance,Ball Nosed,6.0,3.0,50.5,15.0,2,99.0,MINI-MINI CHCUK MMC8-90,0.1,297.8,130.0,4.5,16.79,-259.597,68.567,12.0,50.0,5.3,5,2.0,0.0,0.2,0.15,1200,600.0,7000,7000,16190.6,3.0,0.3,0.2,937,1006
PRO,Offset Area Clearance,Ball Nosed,6.0,3.0,50.5,15.0,2,99.0,MINI-MINI CHCUK MMC8-90,0.1,297.8,130.0,4.8,19.596,-262.415,59.165,-48.352,50.0,5.73,5,2.0,0.0,0.2,0.15,1400,700.0,7000,7000,42060.0,3.0,0.2,0.2,2198,2550
PRO,3D Offset,Ball Nosed,6.0,3.0,50.5,15.0,2,99.0,MINI-MINI CHCUK MMC8-90,0.005,297.8,130.0,4.8,11.583,-254.383,64.373,12.0,50.0,6.797,5,2.0,0.0,0.0,0.0,1400,700.0,7000,7000,4102.29,0.25,0.0,0.0,212,265
PRO,3D Offset,Ball Nosed,6.0,3.0,50.5,15.0,2,99.0,MINI-MINI CHCUK MMC8-90,0.005,297.8,130.0,4.8,15.026,-257.826,64.409,-43.418,50.0,5.552,5,2.0,0.0,0.0,0.0,1200,600.0,7000,7000,5723.4,0.1,0.0,0.0,314,373
PRO,Constant Z,End Mill,6.0,0.0,40.0,15.0,2,99.5,MINI-MINI CHCUK MMC8-90,0.005,297.8,130.0,2.75,15.326,-258.071,30.0,1.5,50.0,7.05,5,2.0,0.0,0.0,0.05,1200,600.0,7000,6000,5304.58,0.0,0.3,0.0,308,405
PRO,Offset Flat,End Mill,6.0,0.0,40.0,15.0,2,99.5,MINI-MINI CHCUK MMC8-90,0.005,297.8,130.0,4.8,15.09,-257.681,30.0,-43.11,50.0,7.0,5,2.0,0.0,0.0,0.1,1000,500.0,7000,6000,2668.68,3.0,0.0,0.0,237,360
